id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2363,Ek Dafa Ek Jungle Tha,"Ilaiyaraaja, Kamal Haasan, Sridevi", Dance,Sadma,9.4
2364,Lamhon Ke Rasgulle,"Bianca Gomes, Sunidhi Chauhan", Dance,Kahaani 2,7.1
2365,Bum Mein Dum,Aaman Trikha, Dance,Shaukeen Kaminay,8.8
2366,Mose Mera Shyam Rootha,Lata Mangeshkar, Devotional,Johny Mera Naam,9.4
2367,Apni Ulfat Pe Zamane Ka,Mukesh, Dance,Sasural,9.3
2368,Aarti (Tumre Bhavan Mein),"Kishori Gowariker, Rekha Bharadwaj, Shraddha Pandit, Sujata Majumdar", Devotional,Delhi-6,8.9
2369,Tanki (Bhaven Version),, Dance,Youngistaan,7.5
2370,Har Subah,"K. S. Chithra, Kumar Sanu", Romantic,Sooryavansham,8.7
2371,Khel Wohi Phir Aaj Tu Khela,Kavita Krishnamurthy, Dance,Nigahen,8.8
2372,Chhad Zid Karna,"Anuradha Paudwal, Udit Narayan", Dance,Pyaar Kiya To Darna Kya,8.8
2373,Pal Mein Mila Jahan,Shankar Mahadevan, Romantic,Aashayein,9.4
2374,Balam Se Milan Hoga,Geeta Dutt, Dance,Chaudhvin Ka Chand,9.1
2375,Phool Bagiya Men Bhanware Aaye,Mubarak Begum, Dance,Zindagi Aur Khwab,6.4
2376,Itni Badi Mehfil,Asha Bhosle, Dance,Dil Apna Aur Preet Parai,9.1
2377,Ishq Nachaya Kare,Sunidhi Chauhan, Dance,Karam,9.3
2378,Mohabbat Ke Din Ho,"Alka Yagnik, Udit Narayan", Dance,Farz,9.4
2379,Saaiyaan,Salim Sulaiman, Sad,Heroine,9.7
2380,Tora Man Bada Papi,Asha Bhosle, Dance,Ganga Jumna,8.4
2381,Dekho Bijli Dole Bin Badal Ki,"Asha Bhosle, Usha Mangeshkar", Dance,Phir Wohi Dil Laya Hoon,9.6
2382,Badi Dheere Jali,Rekha Bhardwaj, Sad,Ishqiya,9.1
2383,Parody,"Abhishek Nailwal, Aditi Paul, Aishwarya Nigam, Manoj Mishra, Sudesh Bhosle", Dance,Gang Of Ghosts,8.6
2384,Socho Ke Jheelon Ka,"Alka Yagnik, Shankar Mahadevan, Udit Narayan", Romantic,Mission Kashmir,7.5
2385,Hum Badi Door Chale Aaye,"Shraddha Pandit, Sonu Nigam", Romantic,Sangharsh,8.8
2386,Yeh Hava Yeh Fiza,"Asha Bhosle, Suresh Wadkar", Dance,Sadma,9.6
2387,Mil Gaya,"Salim Merchant, Shraddha Pandit", Romantic,Shakal Pe Mat Ja,9.7
2388,Jashna Hai Mohabbat Ka,Kumar Sanu, Dance,Hero Hiralal,9.1
2389,Jhanan Ghoongar Baje,Lata Mangeshkar, Dance,Ganga Jumna,7.5
2390,Nazar Mein Hai Chehra,Lucky Ali, Dance,Good Luck,9.5
2391,Sata Le Ae Jahan,Mukesh, Sad,Sasural,9.2
2392,Nazar Mere Dil Ke Par,Mohammed Rafi, Dance,Jab Pyar Kisi Se Hota Hai,8.6
2393,Meri Nazren Hasin Hai Ki Tum,Asha Bhosle, Romantic,Ek Musafir Ek Hasina,9.4
2394,Ek Pardesi Door Se Aaya,Asha Bhosle, Sad,Gumrah,9
2395,Thirkat Ang,Alka Yagik, ,Payal Ki Jhankaar,9.3
2396,Mujhe Pyar Men,Asha Bhosle, Sad,Phir Wohi Dil Laya Hoon,8.9
2397,Kab Chand Ban Ker,"Abhijeet Sawant, Sanjay Pathak, Santosh Singh", Dance,Lottery,8.7
2398,Ab Se Teri,"Mohammed Irfan, Sachin Gupta", Dance,Unforgettable,9.7
2399,Boss Entry – Theme,"Khushboo Grewal, Meet Bros, Sonu Kakkar", Dance,Boss,8.9
2400,Dariya Ho,"Monali Thakur, Shadab Faridi", Dance,Kamaal Dhamaal Malamaa,9.4
2401,Teri Dhoom Har Kahin,Mohammed Rafi, Dance,Kala Bazar,9.5
2402,Phir Nahin Aane Wali Pyare,"Asha Bhosle, Manna Dey", Dance,Shola Aur Shabnam,7.8
2403,Aa Ghar Chalein Hum,Monali Thakur, Devotional,Lakshmi,9.6
2404,Money Hai Toh Honey Hai,Harshdeep Kaur, Dance,Money Hai Toh Honey Hai,9.6
2405,Khudaya Khair,"Akriti Kakar, Monali Thakur, Pritam, Soham Chakraborty", Dance,Billu,8.5
2406,Darbadar,"Altamash Khan, Divya Kumar, Harshit Chouhan, Monali Thakur, Shadaab", Sad,I Me Main,8.4
2407,Pata Hi Na Chala Sad,"Abhijeet Sawant, Santokh Singh Dhaliwal", Sad,Lottery,8.7
2408,Agg Lage Aaj Kal De Fashion Nu,"Hard Kaur, Labh Janjua", Dance,Haal-E-Dil,9.4
2409,Dar Pe Aaye Hain Tere Kasam Le,Mukesh, Romantic,Love In Shimla,9.7
2410,Yaar De Viah,"Gurdas Maan, Mika Singh", Dance,Chak Jawana,9.5
2411,Sunle Tu Dilki Sadaa,Mohammed Rafi, Romantic,Tere Ghar Ke Samne,7.6
2412,Tum Ko Hum Dilbar,"Amit Kumar, Asha Bhosle", Dance,Tezaab,7.4
2413,Mohabbat Isko Kahte Hain,Mohammed Rafi, Romantic,Jab Pyar Kisi Se Hota Hai,7.8
2414,Goodnight,"Jaspreet Singh, Monali Thakur, Poroma, Sachin Gupta", Dance,DIl Kabaddi,8.5
2415,Dhadkanein Kehti Hai,Abhijeet Sawant, Dance,Lottery,9.4
2416,Jana Tumhare Pyar Mein,Mukesh, Dance,Sasural,7.8
2417,Tum Jaise Bigde Babu Se,Lata Mangeshkar, Dance,Jab Pyar Kisi Se Hota Hai,8.5
2418,O Yaad Nahi Bhool Gaya,"Lata Mangeshkar, Suresh Wadkar", Dance,Lamhe,8.7
2419,Ladi Re Ladi Tujhse Aankh Jo Ladi,Jagjit Kaur, Dance,Shola Aur Shabnam,7.9
2420,Mummy Aur Daddy Mein Ladai Ho Gayi,Asha Bhosle, Dance,Shola Aur Shabnam,6.6
