id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2155,Chammak Challo (Remix),"Akon, Hamsika Iyer", Dance,Ra-One,9.3
2156,Aaj Udta Hua Ek Panchhi,Mohammed Rafi, Dance,Gehra Daag,8.7
2157,Ek Tu Hi Bharosa,Lata Mangeshkar, Devotional,Pukar,9.2
2158,Dhanak,Monali Thakur, Dance,Dhanak,9.6
2159,Bhaag Milky Bhaag,"Sanam Puri, Sonu Kakkar", Dance,Running Shaadi,9.2
2160,Follow Me,Hard Kaur, Dance,Ajab Prem Ki Ghazab Kahani,9.5
2161,Mil Gaya,"Mohammed Rafi, Udit Narayan, Usha Mangeshkar", Dance,Unees Bees,9.6
2162,Paayal Meri,"Alka Yagnik, Udit Narayan", Dance,Rajkumar,8.6
2163,Sanam Tum Jahan Mera Dil Wahan,Asha Bhosle, Dance,Kaalia,9.2
2164,Koi Patthar Se Na Maare,"Shreya Ghoshal, Sonu Nigam, Sunidhi Chauhan", Sad,Aaja Nachle,9.4
2165,Sun Le Meri Payal Ke Geet,Lata Mangeshkar, Dance,Sasural,7.7
2166,Le Jaa Tu Mujhe,Atif Aslam, ,F.A.L.T.U,9.7
2167,Dil Mein Baji Pyar Ki Shehnaiyan,Lata Mangeshkar, Dance,Kohinoor,8.8
2168,Darbadar,"Altamash Khan, Divya Kumar, Harshit Chouhan, Monali Thakur, Shadaab", Romantic,I Me Aur Main,9.4
2169,Main Teri Huyi Re Balma,Asha Bhosle, Dance,Gehra Daag,8.4
2170,Ek Din Aap,"Alka Yagnik, Kumar Sanu", DanceRomantic,Yes Boss,9.5
2171,Party To Banti Hai (Remix),"Meet Bros, Mika Singh", Dance,Bhoothnath Returns,8.5
2172,Kuch Khaas,"Mohit Chauhan, Neha Bhasin", Dance,Fashion,9.1
2173,Baatein Kuch Ankahee,"Adnan Sami, Pritam Chakraborty", Romantic,Life In A Metro,9.5
2174,Aaj Ki Party (Remix),Mika Singh, Dance,Bajrangi Bhaijaan,9.3
2175,Ae Watan Ae Watan Humko Teri Qasam,Mohammed Rafi, Patriotic,Shaheed,9.6
2176,Ajnabi,Zebunnisa Bangash, Romantic,Madras Cafe,9.3
2177,Peer Manava,"Shraddha Pandit, Sukhwinder Singh", Dance,Black & White,9.2
2178,Kehta Hai Joker Sara Zamana,Mukesh, Dance,Mera Naam Joker,9
